Index,DateStart,DateEnd,DateSet,Course,Center,Teachers
Mandala1,2027/01/01,2027/01/04,1-01-2027 - 4-01-2027,3D,Mandala,U Aung Kyaw Nyan Wai - Daw Lay Sint
Mandala2,2027/01/08,2027/01/19,8-1-2027 - 19-1-2027,10D,Mandala,U Aung Kyaw Nyan Wai - Daw Khin Myint May
Mandala3,2027/02/02,2027/02/17,2-2-2027 - 17-2-2027,GC,Mandala,U Aung Kyaw Nyan Wai - Daw Hla Myint
Mandala4,2027/02/20,2027/03/23,20-2-2027 - 23-3-2027,30D,Mandala,U San Win  Daw Tin Tin Ye
Mandala5,2027/04/09,2027/04/20,9-4-2027 - 20-4-2027,10D,Mandala,U Tun Tun Khaing - Daw Lay Sint
Mandala6,2027/05/20,2027/05/31,20-5-2027 - 31-5-2027,10D,Mandala,U Aung Kyaw Oo - Daw Myat Lay Khine
Mandala7,2027/06/13,2027/06/24,13-6-2027 - 24-6-2027,10D,Mandala,U Soe Oo - Daw Tin Tin Mya
Mandala8,2027/07/08,2027/07/19,8-7-2027 -19-7-2027,10D,Mandala,U Than Htay - Daw Mi Mi Myaing
Mandala9,2027/08/01,2027/08/12,1-8-2027 - 12-8-2027,10D,Mandala,U Tint Lwin - Daw Khin Htwe
Mandala10,2027/08/22,2027/09/02,22-8-2027 - 2-9-2027,10D,Mandala,U Chandra Kumar - Daw Swe Swe Maw
Mandala11,2027/09/12,2027/09/15,12-09-2027 - 15-09-2027,3D,Mandala,U Kyi Ohn - Daw Mi Mi Myaing
Mandala12,2027/09/18,2027/09/29,18-9-2027 - 29-9-2027,S10D,Mandala,U Khin Maung Soe - Daw Ye Ye 1
Mandala13,2027/10/07,2027/10/18,7-10-2027 - 18-10-2027,10D,Mandala,"U Khin Maung Soe - Daw ,Nwe  ,Nwe Aye"
Mandala14,2027/10/25,2027/11/05,25-10-2027 - 5-11-2027,10D,Mandala,U Kyi Ohn - Daw Mya San
Mandala15,2027/11/17,2027/11/25,17-11-2027 - 25-11-2027,STP,Mandala,U Sai Hsai Leng - Daw Lay Sint
Mandala16,2027/12/01,2027/12/12,1-12-2027 - 12-12-2027,10D,Mandala,Dr Maung Maung Aye  Daw Yi Yi Win
Mandala17,2027/12/19,2027/12/30,19-12-2027 - 30-12-2027,10D,Mandala,"U Mg Mg Lwin - Daw Than Than ,Nwe"
MittaYana1,2027/01/21,2027/02/01,21-01-2027 - 1-02-2027,10D,MittaYana,U Thet Tin Sein - Daw Tin Tin Aye
MittaYana2,2027/02/23,2027/03/06,23 -02-2027 - 6-03 -2027,10D,MittaYana,U Sein Tun - Daw Ohn Ye
MittaYana3,2027/04/09,2027/04/20,9-04 -2027 - 20-04 -2027,10D,MittaYana,U Kyaw Thu  Daw Kyi Kyi Tun
MittaYana4,2027/06/18,2027/06/26,18-06-2027 - 26-06-2027,STP,MittaYana,U Mg Mg Lwin - Daw Hla Myint
MittaYana5,2027/07/18,2027/07/29,18-07-2027 - 29-07-2027,10D,MittaYana,U Tin Lu Win - Daw Tin Tin Mya
MittaYana6,2027/09/18,2027/09/29,18-09-2027 - 29-09-2027,10D,MittaYana,U Sein Tun - Daw Than Than Nwe
MittaYana7,2027/11/11,2027/11/22,11-11-2027 - 22-11-2027,10D,MittaYana,U Soe Oo - Daw Mya San
Mani1,2027/01/08,2027/01/19,8-01-2027 - 19-01-2027,10D,Mani,U Than Htay - Daw Lay Sint
Mani2,2027/03/15,2027/03/23,15 -03-2027 - 23 -03-2027,TeenGirls,Mani,Dr Khin Aye Kyaing Daw Mya San Daw Myint Myint Si
Mani3,2027/04/09,2027/04/20,9-04 -2027 - 20-04 -2027,10D,Mani,U Hlaing - Daw Tin Tin Aye
Mani4,2027/06/11,2027/06/14,11-06-2027 - 14-06-2027,3D,Mani,U Kyaw Mya - Dr Khin Aye Kyaing
Mani5,2027/07/08,2027/07/19,8-07-2027 - 19-07-2027,10D,Mani,U Aung Kyaw Oo - Daw Nang Sam Hom
Mani6,2027/09/18,2027/09/29,18-09-2027 - 29-09-2027,10D,Mani,U Khin Mg Win - Daw Ohn Ye
Mani7,2027/11/04,2027/11/15,4-11-2027 - 15-11-2027,10D,Mani,U Chandra Kumar - Daw Swe Swe Maw
Mani8,2027/12/16,2027/12/24,16-12-2027 - 24-12-2027,STP,Mani,U Khin Mg Soe - Daw Mya San
MahaP1,2027/02/23,2027/03/06,23-02-2027 - 6-03-2027,10D,MahaPabatta,U Khin Mg Win - Daw Win Win Myint
MahaP2,2027/03/10,2027/03/21,10 -03-2027 - 21-03 -2027,10D,MahaPabatta,U Sai Hsai Leng - Daw Nang Sam Hom
MahaP3,2027/04/09,2027/04/20,9-04 -2027 - 20-04 -2027,10D,MahaPabatta,U Sai Cho - Daw Nang Htwe May
MahaP4,2027/05/02,2027/05/13,2-05-2027 -  13-05-2027,10D,MahaPabatta,U Khin Mg Soe - Daw Khin Htwe
MahaP5,2027/05/27,2027/06/07,27-05-2027 - 7-06-2027,10D,MahaPabatta,U San Win Daw Tin Tin Ye
MahaP6,2027/06/24,2027/07/05,24-06-2027 -  5-07-2027,10D,MahaPabatta,U Tun Tun Khaing - Daw Myint Myint Si
MahaP7,2027/07/22,2027/08/02,22-07-2027 - 2-08-2027,10D,MahaPabatta,U Mg Mg Lwin - Daw Lay Sint
MahaP8,2027/08/19,2027/08/30,19-08-2027 - 30-08-2027,10D,MahaPabatta,Dr Mg Mg Aye Daw Yi Yi Win
MahaP9,2027/09/18,2027/09/29,18-09-2027 - 29-09-2027,10D,MahaPabatta,U Kyaw Thu  Daw Kyi Kyi Tun
MahaP10,2027/10/23,2027/10/31,23-10-2027 - 31-10-2027,STP,MahaPabatta,U Thein Htwe - Daw Mi Mi Myaing
MahaP11,2027/11/18,2027/11/29,18-11-2027 - 29-11-2027,10D,MahaPabatta,U Khin Mg Win - Daw Nan Cho Cho
Shwe1,2027/02/19,2027/03/02,19-02-2027 - 2-03-2027,10D,Shwe,"U Win Maung - Daw ,Nwe ,Nwe Aye"
Shwe2,2027/04/09,2027/04/20,9-04-2027 - 20-04-2027,10D,Shwe,U Soe Min Aye - Daw Wai Wai
Shwe3,2027/07/16,2027/07/19,16-07-2027 - 19-07-2027,3D,Shwe,U Than Htay - Daw Kay Thi
Shwe4,2027/07/30,2027/08/10,30-07-2027 - 10-08-2027,10D,Shwe,U Than Htay - Daw Kay Thi
Shwe5,2027/09/18,2027/09/29,18-09-2027 - 29-09-2027,10D,Shwe,U Win Maung - Daw Win Win Myint
Shwe6,2027/10/13,2027/10/16,13-10-2027 - 16-10-2027,3D,Shwe,U Win Maung - Daw Win Win Myint
