centers,lat,lon
Joti,16.805561,96.160402
Nidhi,17.17799,96.39811
Mahima,22.04478,96.50585
Mandala,21.5803,96.1237
Nandhaja,22.1993118,95.0678033
Shwe,22.593387,95.694337
Makuta,22.54163,96.291091
Labha,22.953775,97.751335
Sangam,25.419035,97.351218
Maha Pabbata,20.803037,97.070968
Pabbata,23.92049,97.817626
Manorama,16.737288,95.64445
MittaYana,16.5864099,94.9240912
Manohara,15.972345,97.738543
Magga,19.72417,96.05728
Mani,18.217933,96.571912
Canda,12.4529589,98.6851155
Mayuradipa,16.3844433,95.2631383
